time, iteration, regSquaredError
2017-06-16 16:46:52,1,714534.460439678
2017-06-16 16:47:33,2,231294.744929968
2017-06-16 16:48:14,3,157144.29559279
2017-06-16 16:48:55,4,136158.611324692
2017-06-16 16:49:38,5,126845.006099947
2017-06-16 16:50:19,6,121825.92653483
2017-06-16 16:51:01,7,118798.02320162
2017-06-16 16:51:43,8,116829.450453909
2017-06-16 16:52:24,9,115478.3471831
2017-06-16 16:53:06,10,114511.344454125
2017-06-16 16:53:48,11,113795.182953524
2017-06-16 16:54:29,12,113249.092252082
2017-06-16 16:55:11,13,112821.716492352
2017-06-16 16:55:52,14,112479.059666707
2017-06-16 16:56:34,15,112197.799146552
2017-06-16 16:57:15,16,111961.390038046
2017-06-16 16:57:57,17,111757.700057671
2017-06-16 16:58:38,18,111577.523612743
2017-06-16 16:59:20,19,111413.623861351
2017-06-16 17:00:01,20,111260.107807222
2017-06-16 17:00:43,21,111112.024964407
2017-06-16 17:01:25,22,110965.128624162
2017-06-16 17:02:06,23,110815.766061654
2017-06-16 17:02:47,24,110660.876990717
2017-06-16 17:03:29,25,110498.080642071
2017-06-16 17:04:11,26,110325.822170204
2017-06-16 17:04:52,27,110143.531717876
2017-06-16 17:05:33,28,109951.732113782
2017-06-16 17:06:14,29,109752.026653991
2017-06-16 17:06:56,30,109546.919651089
2017-06-16 17:07:37,31,109339.472212086
2017-06-16 17:08:18,32,109132.857933044
2017-06-16 17:09:00,33,108929.926776625
2017-06-16 17:09:42,34,108732.883894659
2017-06-16 17:10:23,35,108543.143081696
2017-06-16 17:11:04,36,108361.349346758
2017-06-16 17:11:46,37,108187.516327965
2017-06-16 17:12:27,38,108021.209722715
2017-06-16 17:13:08,39,107861.722152169
2017-06-16 17:13:49,40,107708.21063094
2017-06-16 17:14:31,41,107559.790226426
2017-06-16 17:15:12,42,107415.590445212
2017-06-16 17:15:55,43,107274.785238448
2017-06-16 17:16:36,44,107136.606791565
2017-06-16 17:17:18,45,107000.35061999
2017-06-16 17:18:00,46,106865.376764731
2017-06-16 17:18:41,47,106731.109775774
2017-06-16 17:19:22,48,106597.038770011
2017-06-16 17:20:04,49,106462.718002295
2017-06-16 17:20:45,50,106327.767909868
2017-06-16 17:21:27,51,106191.876340347
2017-06-16 17:22:08,52,106054.799562091
2017-06-16 17:22:50,53,105916.362632504
2017-06-16 17:23:31,54,105776.458738465
2017-06-16 17:24:13,55,105635.047208835
2017-06-16 17:24:54,56,105492.150019695
2017-06-16 17:25:35,57,105347.846755685
2017-06-16 17:26:17,58,105202.268139314
2017-06-16 17:26:58,59,105055.588376973
2017-06-16 17:27:40,60,104908.016677749
2017-06-16 17:28:21,61,104759.788366423
2017-06-16 17:29:02,62,104611.156028632
2017-06-16 17:29:44,63,104462.381094512
2017-06-16 17:30:26,64,104313.726197019
2017-06-16 17:31:07,65,104165.448545648
2017-06-16 17:31:48,66,104017.794452291
2017-06-16 17:32:29,67,103870.995048235
2017-06-16 17:33:12,68,103725.26315096
2017-06-16 17:33:52,69,103580.791182458
2017-06-16 17:34:34,70,103437.750007864
2017-06-16 17:35:16,71,103296.288550655
2017-06-16 17:35:57,72,103156.534043191
2017-06-16 17:36:39,73,103018.592782241
2017-06-16 17:37:20,74,102882.551273824
2017-06-16 17:38:01,75,102748.477666058
2017-06-16 17:38:43,76,102616.423381323
2017-06-16 17:39:25,77,102486.424869937
2017-06-16 17:40:06,78,102358.505416617
2017-06-16 17:40:48,79,102232.676939818
